Gene	Rule
f61	( e61 )
g61	( f61 or g61 ) and ( not g60 )
e62	( g32 )
f62	( e62 )
g62	( f62 or g62 ) and ( not g63 )
e63	( g32 )
f63	( e63 )
g63	( f63 or g63 ) and ( not g62 )
e64	( g33 )
f64	( e64 )
g64	( f64 or g64 ) and ( not g65 )
e65	( g33 )
f65	( e65 )
g65	( f65 or g65 ) and ( not g64 )
e66	( g34 )
f66	( e66 )
g66	( f66 or g66 ) and ( not g67 )
e67	( g34 )
f67	( e67 )
g67	( f67 or g67 ) and ( not g66 )
e68	( g35 )
f68	( e68 )
g68	( f68 or g68 ) and ( not g69 )
e69	( g35 )
f69	( e69 )
g69	( f69 or g69 ) and ( not g68 )
e70	( g36 )
f70	( e70 )
g70	( f70 or g70 ) and ( not g71 )
e71	( g36 )
f71	( e71 )
g71	( f71 or g71 ) and ( not g70 )
e72	( g37 )
f72	( e72 )
g72	( f72 or g72 ) and ( not g73 )
e73	( g37 )
f73	( e73 )
g73	( f73 or g73 ) and ( not g72 )
e74	( g38 )
f74	( e74 )
g74	( f74 or g74 ) and ( not g75 )
e75	( g38 )
f75	( e75 )
g75	( f75 or g75 ) and ( not g74 )
e76	( g39 )
f76	( e76 )
g76	( f76 or g76 ) and ( not g77 )
e77	( g39 )
f77	( e77 )
g77	( f77 or g77 ) and ( not g76 )
e78	( g40 )
f78	( e78 )
g78	( f78 or g78 ) and ( not g79 )
e79	( g40 )
f79	( e79 )
g79	( f79 or g79 ) and ( not g78 )
e80	( g41 )
f80	( e80 )
g80	( f80 or g80 ) and ( not g81 )
e81	( g41 )
f81	( e81 )
g81	( f81 or g81 ) and ( not g80 )
e82	( g42 )
f82	( e82 )
g82	( f82 or g82 ) and ( not g83 )
e83	( g42 )
f83	( e83 )
g83	( f83 or g83 ) and ( not g82 )
e84	( g43 )
f84	( e84 )
g84	( f84 or g84 ) and ( not g85 )
e85	( g43 )
f85	( e85 )
g85	( f85 or g85 ) and ( not g84 )
e86	( g44 )
f86	( e86 )
g86	( f86 or g86 ) and ( not g87 )
e87	( g44 )
f87	( e87 )
g87	( f87 or g87 ) and ( not g86 )
e88	( g45 )
f88	( e88 )
g88	( f88 or g88 ) and ( not g89 )
e89	( g45 )
f89	( e89 )
g89	( f89 or g89 ) and ( not g88 )
e90	( g46 )
f90	( e90 )
g90	( f90 or g90 ) and ( not g91 )
e91	( g46 )
f91	( e91 )
g91	( f91 or g91 ) and ( not g90 )
e92	( g47 )
f92	( e92 )
g92	( f92 or g92 ) and ( not g93 )
e93	( g47 )
f93	( e93 )
g93	( f93 or g93 ) and ( not g92 )
e94	( g48 )
f94	( e94 )
g94	( f94 or g94 ) and ( not g95 )
e95	( g48 )
f95	( e95 )
g95	( f95 or g95 ) and ( not g94 )
e96	( g49 )
f96	( e96 )
g96	( f96 or g96 ) and ( not g97 )
e97	( g49 )
f97	( e97 )
g97	( f97 or g97 ) and ( not g96 )
e98	( g50 )
f98	( e98 )
g98	( f98 or g98 ) and ( not g99 )
e99	( g50 )
f99	( e99 )
g99	( f99 or g99 ) and ( not g98 )
e100	( g51 )
f100	( e100 )
g100	( f100 or g100 ) and ( not g101 )
e101	( g51 )
f101	( e101 )
g101	( f101 or g101 ) and ( not g100 )
e102	( g52 )
f102	( e102 )
g102	( f102 or g102 ) and ( not g103 )
e103	( g52 )
f103	( e103 )
g103	( f103 or g103 ) and ( not g102 )
e104	( g53 )
f104	( e104 )
g104	( f104 or g104 ) and ( not g105 )
e105	( g53 )
f105	( e105 )
g105	( f105 or g105 ) and ( not g104 )
e106	( g54 )
f106	( e106 )
g106	( f106 or g106 ) and ( not g107 )
e107	( g54 )
f107	( e107 )
g107	( f107 or g107 ) and ( not g106 )
e108	( g55 )
f108	( e108 )
g108	( f108 or g108 ) and ( not g109 )
e109	( g55 )
f109	( e109 )
g109	( f109 or g109 ) and ( not g108 )
e110	( g56 )
f110	( e110 )
g110	( f110 or g110 ) and ( not g111 )
e111	( g56 )
f111	( e111 )
g111	( f111 or g111 ) and ( not g110 )
e112	( g57 )
f112	( e112 )
g112	( f112 or g112 ) and ( not g113 )
e113	( g57 )
f113	( e113 )
g113	( f113 or g113 ) and ( not g112 )
e114	( g58 )
f114	( e114 )
g114	( f114 or g114 ) and ( not g115 )
e115	( g58 )
f115	( e115 )
g115	( f115 or g115 ) and ( not g114 )
e116	( g59 )
f116	( e116 )
g116	( f116 or g116 ) and ( not g117 )
e117	( g59 )
f117	( e117 )
g117	( f117 or g117 ) and ( not g116 )
e118	( g60 )
f118	( e118 )
g118	( f118 or g118 ) and ( not g119 )
e119	( g60 )
f119	( e119 )
g119	( f119 or g119 ) and ( not g118 )
e120	( g61 )
f120	( e120 )
g120	( f120 or g120 ) and ( not g121 )
e121	( g61 )
f121	( e121 )
g121	( f121 or g121 ) and ( not g120 )
e122	( g62 )
f122	( e122 )
g122	( f122 or g122 ) and ( not g123 )
e123	( g62 )
f123	( e123 )
g123	( f123 or g123 ) and ( not g122 )
e124	( g63 )
f124	( e124 )
g124	( f124 or g124 ) and ( not g125 )
e125	( g63 )
f125	( e125 )
g125	( f125 or g125 ) and ( not g124 )
e126	( g64 )
f126	( e126 )
g126	( f126 or g126 ) and ( not g127 )
e127	( g64 )
f127	( e127 )
g127	( f127 or g127 ) and ( not g126 )
e128	( g65 )
f128	( e128 )
g128	( f128 or g128 ) and ( not g129 )
e129	( g65 )
f129	( e129 )
g129	( f129 or g129 ) and ( not g128 )
e130	( g66 )
f130	( e130 )
g130	( f130 or g130 ) and ( not g131 )
e131	( g66 )
f131	( e131 )
g131	( f131 or g131 ) and ( not g130 )
e132	( g67 )
f132	( e132 )
g132	( f132 or g132 ) and ( not g133 )
e133	( g67 )
f133	( e133 )
g133	( f133 or g133 ) and ( not g132 )
e134	( g68 )
f134	( e134 )
g134	( f134 or g134 ) and ( not g135 )
e135	( g68 )
f135	( e135 )
g135	( f135 or g135 ) and ( not g134 )
e136	( g69 )
f136	( e136 )
g136	( f136 or g136 ) and ( not g137 )
e137	( g69 )
f137	( e137 )
g137	( f137 or g137 ) and ( not g136 )
e138	( g70 )
f138	( e138 )
g138	( f138 or g138 ) and ( not g139 )
e139	( g70 )
f139	( e139 )
g139	( f139 or g139 ) and ( not g138 )
e140	( g71 )
f140	( e140 )
g140	( f140 or g140 ) and ( not g141 )
e141	( g71 )
f141	( e141 )
g141	( f141 or g141 ) and ( not g140 )
e142	( g72 )
f142	( e142 )
g142	( f142 or g142 ) and ( not g143 )
e143	( g72 )
f143	( e143 )
g143	( f143 or g143 ) and ( not g142 )
e144	( g73 )
f144	( e144 )
g144	( f144 or g144 ) and ( not g145 )
e145	( g73 )
f145	( e145 )
g145	( f145 or g145 ) and ( not g144 )
e146	( g74 )
f146	( e146 )
g146	( f146 or g146 ) and ( not g147 )
e147	( g74 )
f147	( e147 )
g147	( f147 or g147 ) and ( not g146 )
e148	( g75 )
f148	( e148 )
g148	( f148 or g148 ) and ( not g149 )
e149	( g75 )
f149	( e149 )
g149	( f149 or g149 ) and ( not g148 )
e150	( g76 )
f150	( e150 )
g150	( f150 or g150 ) and ( not g151 )
e151	( g76 )
f151	( e151 )
g151	( f151 or g151 ) and ( not g150 )
e152	( g77 )
f152	( e152 )
g152	( f152 or g152 ) and ( not g153 )
e153	( g77 )
f153	( e153 )
g153	( f153 or g153 ) and ( not g152 )
e154	( g78 )
f154	( e154 )
g154	( f154 or g154 ) and ( not g155 )
e155	( g78 )
f155	( e155 )
g155	( f155 or g155 ) and ( not g154 )
e156	( g79 )
f156	( e156 )
g156	( f156 or g156 ) and ( not g157 )
e157	( g79 )
f157	( e157 )
g157	( f157 or g157 ) and ( not g156 )
e158	( g80 )
f158	( e158 )
g158	( f158 or g158 ) and ( not g159 )
e159	( g80 )
f159	( e159 )
g159	( f159 or g159 ) and ( not g158 )
e160	( g81 )
f160	( e160 )
g160	( f160 or g160 ) and ( not g161 )
e161	( g81 )
f161	( e161 )
g161	( f161 or g161 ) and ( not g160 )
e162	( g82 )
f162	( e162 )
g162	( f162 or g162 ) and ( not g163 )
e163	( g82 )
f163	( e163 )
g163	( f163 or g163 ) and ( not g162 )
e164	( g83 )
f164	( e164 )
g164	( f164 or g164 ) and ( not g165 )
e165	( g83 )
f165	( e165 )
g165	( f165 or g165 ) and ( not g164 )
e166	( g84 )
f166	( e166 )
g166	( f166 or g166 ) and ( not g167 )
e167	( g84 )
f167	( e167 )
g167	( f167 or g167 ) and ( not g166 )
e168	( g85 )
f168	( e168 )
g168	( f168 or g168 ) and ( not g169 )
e169	( g85 )
f169	( e169 )
g169	( f169 or g169 ) and ( not g168 )
e170	( g86 )
f170	( e170 )
g170	( f170 or g170 ) and ( not g171 )
e171	( g86 )
f171	( e171 )
g171	( f171 or g171 ) and ( not g170 )
e172	( g87 )
f172	( e172 )
g172	( f172 or g172 ) and ( not g173 )
e173	( g87 )
f173	( e173 )
g173	( f173 or g173 ) and ( not g172 )
e174	( g88 )
f174	( e174 )
g174	( f174 or g174 ) and ( not g175 )
e175	( g88 )
f175	( e175 )
g175	( f175 or g175 ) and ( not g174 )
e176	( g89 )
f176	( e176 )
g176	( f176 or g176 ) and ( not g177 )
e177	( g89 )
f177	( e177 )
g177	( f177 or g177 ) and ( not g176 )
e178	( g90 )
f178	( e178 )
g178	( f178 or g178 ) and ( not g179 )
e179	( g90 )
f179	( e179 )
g179	( f179 or g179 ) and ( not g178 )
e180	( g91 )
f180	( e180 )
g180	( f180 or g180 ) and ( not g181 )
e181	( g91 )
f181	( e181 )
g181	( f181 or g181 ) and ( not g180 )
e182	( g92 )
f182	( e182 )
g182	( f182 or g182 ) and ( not g183 )
e183	( g92 )
f183	( e183 )
g183	( f183 or g183 ) and ( not g182 )
e184	( g93 )
f184	( e184 )
g184	( f184 or g184 ) and ( not g185 )
e185	( g93 )
f185	( e185 )
g185	( f185 or g185 ) and ( not g184 )
e186	( g94 )
f186	( e186 )
g186	( f186 or g186 ) and ( not g187 )
e187	( g94 )
f187	( e187 )
g187	( f187 or g187 ) and ( not g186 )
e188	( g95 )
f188	( e188 )
g188	( f188 or g188 ) and ( not g189 )
e189	( g95 )
f189	( e189 )
g189	( f189 or g189 ) and ( not g188 )
e190	( g96 )
f190	( e190 )
g190	( f190 or g190 ) and ( not g191 )
e191	( g96 )
f191	( e191 )
g191	( f191 or g191 ) and ( not g190 )
e192	( g97 )
f192	( e192 )
g192	( f192 or g192 ) and ( not g193 )
e193	( g97 )
f193	( e193 )
g193	( f193 or g193 ) and ( not g192 )
e194	( g98 )
f194	( e194 )
g194	( f194 or g194 ) and ( not g195 )
e195	( g98 )
f195	( e195 )
g195	( f195 or g195 ) and ( not g194 )
e196	( g99 )
f196	( e196 )
g196	( f196 or g196 ) and ( not g197 )
e197	( g99 )
f197	( e197 )
g197	( f197 or g197 ) and ( not g196 )
e198	( g100 )
f198	( e198 )
g198	( f198 or g198 ) and ( not g199 )
e199	( g100 )
f199	( e199 )
g199	( f199 or g199 ) and ( not g198 )
e200	( g101 )
f200	( e200 )
g200	( f200 or g200 ) and ( not g201 )
e201	( g101 )
f201	( e201 )
g201	( f201 or g201 ) and ( not g200 )
e202	( g102 )
f202	( e202 )
g202	( f202 or g202 ) and ( not g203 )
e203	( g102 )
f203	( e203 )
g203	( f203 or g203 ) and ( not g202 )
e204	( g103 )
f204	( e204 )
g204	( f204 or g204 ) and ( not g205 )
e205	( g103 )
f205	( e205 )
g205	( f205 or g205 ) and ( not g204 )
e206	( g104 )
f206	( e206 )
g206	( f206 or g206 ) and ( not g207 )
e207	( g104 )
f207	( e207 )
g207	( f207 or g207 ) and ( not g206 )
e208	( g105 )
f208	( e208 )
g208	( f208 or g208 ) and ( not g209 )
e209	( g105 )
f209	( e209 )
g209	( f209 or g209 ) and ( not g208 )
e210	( g106 )
f210	( e210 )
g210	( f210 or g210 ) and ( not g211 )
e211	( g106 )
f211	( e211 )
g211	( f211 or g211 ) and ( not g210 )
e212	( g107 )
f212	( e212 )
g212	( f212 or g212 ) and ( not g213 )
e213	( g107 )
f213	( e213 )
g213	( f213 or g213 ) and ( not g212 )
e214	( g108 )
f214	( e214 )
g214	( f214 or g214 ) and ( not g215 )
e215	( g108 )
f215	( e215 )
g215	( f215 or g215 ) and ( not g214 )
e216	( g109 )
f216	( e216 )
g216	( f216 or g216 ) and ( not g217 )
e217	( g109 )
f217	( e217 )
g217	( f217 or g217 ) and ( not g216 )
e218	( g110 )
f218	( e218 )
g218	( f218 or g218 ) and ( not g219 )
e219	( g110 )
f219	( e219 )
g219	( f219 or g219 ) and ( not g218 )
e220	( g111 )
f220	( e220 )
g220	( f220 or g220 ) and ( not g221 )
e221	( g111 )
f221	( e221 )
g221	( f221 or g221 ) and ( not g220 )
e222	( g112 )
f222	( e222 )
g222	( f222 or g222 ) and ( not g223 )
e223	( g112 )
f223	( e223 )
g223	( f223 or g223 ) and ( not g222 )
e224	( g113 )
f224	( e224 )
g224	( f224 or g224 ) and ( not g225 )
e225	( g113 )
f225	( e225 )
g225	( f225 or g225 ) and ( not g224 )
e226	( g114 )
f226	( e226 )
g226	( f226 or g226 ) and ( not g227 )
e227	( g114 )
f227	( e227 )
g227	( f227 or g227 ) and ( not g226 )
e228	( g115 )
f228	( e228 )
g228	( f228 or g228 ) and ( not g229 )
e229	( g115 )
f229	( e229 )
g229	( f229 or g229 ) and ( not g228 )
e230	( g116 )
f230	( e230 )
g230	( f230 or g230 ) and ( not g231 )
e231	( g116 )
f231	( e231 )
g231	( f231 or g231 ) and ( not g230 )
e232	( g117 )
f232	( e232 )
g232	( f232 or g232 ) and ( not g233 )
e233	( g117 )
f233	( e233 )
g233	( f233 or g233 ) and ( not g232 )
e234	( g118 )
f234	( e234 )
g234	( f234 or g234 ) and ( not g235 )
e235	( g118 )
f235	( e235 )
g235	( f235 or g235 ) and ( not g234 )
e236	( g119 )
f236	( e236 )
g236	( f236 or g236 ) and ( not g237 )
e237	( g119 )
f237	( e237 )
g237	( f237 or g237 ) and ( not g236 )
e238	( g120 )
f238	( e238 )
g238	( f238 or g238 ) and ( not g239 )
e239	( g120 )
f239	( e239 )
g239	( f239 or g239 ) and ( not g238 )
e240	( g121 )
f240	( e240 )
g240	( f240 or g240 ) and ( not g241 )
e241	( g121 )
f241	( e241 )
g241	( f241 or g241 ) and ( not g240 )
e242	( g122 )
f242	( e242 )
g242	( f242 or g242 ) and ( not g243 )
e243	( g122 )
f243	( e243 )
g243	( f243 or g243 ) and ( not g242 )
e244	( g123 )
f244	( e244 )
g244	( f244 or g244 ) and ( not g245 )
e245	( g123 )
f245	( e245 )
g245	( f245 or g245 ) and ( not g244 )
e246	( g124 )
f246	( e246 )
g246	( f246 or g246 ) and ( not g247 )
e247	( g124 )
f247	( e247 )
g247	( f247 or g247 ) and ( not g246 )
e248	( g125 )
f248	( e248 )
g248	( f248 or g248 ) and ( not g249 )
e249	( g125 )
f249	( e249 )
g249	( f249 or g249 ) and ( not g248 )
e250	( g126 )
f250	( e250 )
g250	( f250 or g250 ) and ( not g251 )
e251	( g126 )
f251	( e251 )
g251	( f251 or g251 ) and ( not g250 )
e252	( g127 )
f252	( e252 )
g252	( f252 or g252 ) and ( not g253 )
e253	( g127 )
f253	( e253 )
g253	( f253 or g253 ) and ( not g252 )
e254	( g128 )
f254	( e254 )
g254	( f254 or g254 ) and ( not g255 )
e255	( g128 )
f255	( e255 )
g255	( f255 or g255 ) and ( not g254 )
e256	( g129 )
f256	( e256 )
g256	( f256 or g256 ) and ( not g257 )
e257	( g129 )
f257	( e257 )
g257	( f257 or g257 ) and ( not g256 )
